"ID","Created Date","Updated Date","Owner","key","To","CC","BCC","Subject","Body","Body As Simple Text"
"08b1db39-dc49-47f6-8aff-e8088eff0062",2022-03-17T05:43:48Z,2025-04-28T17:17:32Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","contact_us","doron@realtechee.com;demo@realtechee.com",,,"[RealTecheeX][Contact Us] Someone contacted us","<p>Someone is trying to contact us with the details below:<br/></p>
<br/>
<p>
First: {{first}}<br/>
Last: {{last}}<br/>
Email: {{email}}<br/>
Phone: {{phone}}<br/>
Address: {{address}}<br/>
Product: {{product}}<br/>
</p>
<br/>
<p>
Subject: {{subject}}<br/>
</p>
<p>
{{message}}
</p>
<p>
Joey - please follow up with the requester or forward the request with instructions.<br/>
<br/>
Regards and thank you.<br/>
<br/>
The RealTechee team.
</p>
",
"21e51aad-e581-4040-ab01-1589953e92cd",2022-12-13T05:14:31Z,2025-04-28T17:17:03Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteSigned",,"doron@realtechee.com;demo@realtechee.com",,"[RealTechee][Quote] Quote signed ! - {{address}}","<p>Hi {{fullName}},</p>
<p>
       Thank you for signing the quote for {{address}}.<br/>
       For your records, a link to the signed quote <a href=""{{link}}"">(click here)</a>.<br/>
       <br/>
       Next, RealTechee accounting will start with the underwriting process, and will contact you shortly.<br/>
       <br/>
       Should you have any question please let us know.<br/>
       <br/>
       Looking forward to make your dreams come true.<br/>
       <br/>
       The RealTechee Team.<br/>
</p>
<br/>",
"2ec1fa0b-99d3-443b-8fe9-099a09542828",2022-12-26T01:20:36Z,2023-09-06T01:17:42Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","assignedToEmail",,,,"[RealTechee] You have new assignment !!!","<p>Hi {{fullName}},</p>
<p>
       You have new assignment !<br/>
       {{description}}<br/>
       <a href=""{{link}}"">(Click here for more details)</a><br/>
       <br/>
       Working on your assignments diligently will improve customer experience.<br/>
       <br/>
       Thank you, the RealTechee Team.<br/>
</p>
<br/>",
"5eaeabbc-81b9-4a03-959a-07a50594cb83",2024-01-09T19:35:01Z,2024-01-10T18:59:46Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","AEKpiNotice","doron@realtechee.com",,,"Performance Evaluation Email","<p>Subject: Performance Evaluation Email</p>
<p>{{accountExecutive}},</p>
<p>(Gaby included for visibility).</p>
<p>This Friday (<strong>{{paymentDate}}</strong>), you will receive payment for last two weeks.<br/>Your fees are based on your achievements (KPI) of the two weeks ending on <strong>{{evaluationPeriodEnd}}</strong> and are as follows:</p>
<ul>
    <li>Next payment date: <strong>{{paymentDate}}</strong></li>
    <li>KPI evaluation period: <strong>{{evaluationPeriodStart}} - {{evaluationPeriodEnd}}</strong></li>
    <li>Sellers Service Requests Count: <strong>{{sellersRequestCount}}</strong>
        <ul>{{sellersRequestAddresses}}</ul>
    </li>
    <li>Buyers Service Requests Count: <strong>{{buyersRequestCount}}</strong>
        <ul>{{buyersRequestAddresses}}</ul>
    </li>
    <li>Contracts Signed: <strong>{{contractsSignedCount}}</strong>
        <ul>{{contractsSignedAddresses}}</ul>
    </li>
</ul>
<p>Based on this performance data, you have <strong>{{metNotMet}}</strong> the KPI criteria. As a result, your payment for this period is <strong>{{compensation}}</strong>.</p>
<p>Please review this information for accuracy. If corrections are needed, please reply with your supporting data at the earliest. Otherwise Gaby will issue an eCheck for the specified amount by <strong>{{paymentDate}}</strong>.</p>
<p>Your ongoing efforts and achievements are greatly appreciated. Should you have any questions or need further clarification, please do not hesitate to reach out.</p>
<p>Best regards,</p>",
"63495192-aaa9-4960-af41-f5615f3e1bf1",2023-02-11T23:12:08Z,2025-04-28T17:16:30Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","quoteReminder","doron@realtechee.com;demo@realtechee.com","doron@realtechee.com",,"[RealTechee][Quote] Quote reminder ! - {{address}}","<p>Hi {{fullName}}</p>
<p>This is a reminder of a quote pending review and signature.</br>
Address: {{address}}</br>
</br>
The quote total is {{totalPrice}} as of {{createdDate}}, and is subjected to RealTechee internal underwriting.</br>
For quote details click the following link: <a href=""{{quoteUrl}}"">quote</a>.</br>
</br>
Click the following link to see quote details and approval: <a href=""{{url}}"">eSignature</a>.</br>
</br>
This quote is valid for the next 30 days, after which values may be subjected to change.</br>
</br>
If you have any questions or concerns regarding this quote, please don’t hesitate to get in touch with us at office@realtechee.com.</br>
</br>
Sincerely,</br>
The RealTechee team.
</p>",
"6948ed19-8d56-4295-b0c2-849b9513ab36",2023-02-12T01:05:43Z,2024-02-04T22:36:05Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","assignedToEmailReminder",,,,"[RealTechee] Reminder of assignment !!!","<p>Hi {{fullName}},</p>
<p>
       This is a reminder of your assignment !<br/>
       {{description}}<br/>
       <a href=""""{{link}}"""">(Click here for more details)</a><br/>
       <br/>
       Working on your assignments diligently will improve customer experience.<br/>
       <br/>
       Thank you, the RealTechee Team.<br/>
</p>
<br/>",
"6eabee33-057b-4b8c-95cc-71e0b747c119",2022-04-10T19:30:06Z,2023-12-21T00:49:11Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","ECR","doron@realtechee.com",,,"[RealTecheeX][ECR] New ECR submitted","{{item}}",true
"75926729-69fd-4a8b-9346-c4023d9c98dc",2022-04-10T19:30:46Z,2023-12-21T00:49:11Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","BET","doron@realtechee.com",,,"[RealTecheeX][BET] New BET submitted","{{item}}",true
"76ab1d36-7155-4cd1-ba6c-b7b9f7b570cf",2022-04-10T19:29:36Z,2023-12-21T00:49:11Z,"29cccdd2-340f-41f4-a9e9-2db0c53b3114","PVA","doron@realtechee.com",,,"[RealTecheeX][PVA] New PVA submitted","{{item}}",true
"8dc008cc-f475-4577-9094-addfb65420d4",2022-07-20T20:04:44Z,2025-04-28T17:17:08Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","newMember",,"doron@realtechee.com;demo@realtechee.com",,"[RealTecheeX][New Member] You've got a new site member!","<p>Yay! We have new subscribed member:</p>
<p>
   First: {{first}}<br/>
   Last: {{last}}<br/>
   Email: {{email}}<br/>
   Phone: {{phone}}<br/>
   Member is: {{group}}<br/>
   Brokerage: {{brokerage}}<br/>
   Agent ID: {{agentID}}
</p>
<br/>",
