"ID","projectID","Type","PaymentName","Payment Amount","paymentDue","Description","Order","Paid","Parent Payment ID","Is Category","Internal","Created Date","Updated Date","Owner"
"009e1c46-63a0-a3ce-c245-7139c82c001b","62","byClient","Complete drywall repairs and floating of bathroom and tub walls",8000,,"paid 10/18/23",3,true,,false,false,2023-09-02T02:00:37Z,2023-11-23T04:13:48Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"013986f2-6b5e-32fd-c7c8-5e081524bbd3","8b7e6c6c-2464-e43f-1834-67aba281498f","byClient","Complete new Roof on House and Garage",9100,,,4,false,,false,false,2023-12-19T17:21:48Z,2023-12-19T22:56:12Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"0243daf1-8841-8d88-bc4a-df1471d1443e","c74a3b92-e27c-2aa8-9d6a-9723a25a3c4c","byClient","End of escrow",2100,,,1,false,,false,false,2023-11-12T01:14:03Z,2023-12-12T17:11:39Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"02841700-6eeb-51f5-dc13-97f27522c0de","66","byClient","End of escrow",19960,,,1,true,,false,false,2023-08-29T21:53:45Z,2023-12-14T18:16:36Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"03bdf26c-0b9a-658a-6308-202c1501fab2","be857b6b-64d6-f38c-cceb-a1d5f2a0c7c5","toGC","Cleaning complete (estimated 12/8/2023)",5400,,,6,false,,false,false,2023-11-30T21:52:58Z,2024-01-29T01:18:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1"
"05edb628-b435-9073-c534-1028f4be1932","64","byClient","Final inspection and project complete",2140,,,7,false,,false,false,2023-12-05T16:43:03Z,2023-12-18T16:01:40Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"07a85466-9c91-a267-676d-71c01d46fd95","45","toGC","New Surface Look",5800,"12/18/2022","Third payment",4,true,,false,false,2023-10-27T15:24:19Z,2023-10-27T15:24:19Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"08770937-7722-bb4e-0fa8-330d6480a6f2","47","toGC","New Surface Look",11000,,"Upon work completion
Scope of Work: General Work Paint & Electric
1 $11,000",2,true,,false,false,2023-10-27T14:52:56Z,2023-10-27T14:53:03Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
"0aef331e-b444-bd2d-8563-1a14f2da0de4","56","toGC","New Look Surface",15000,,"Complete electric and low voltage 7/25/23",20,true,,false,false,2023-10-17T15:29:58Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"0bdd4d6e-c6e0-3022-4c61-4568228609e4","56","byClient","Complete framing and water proof for window",20000,,"paid 7/25/23",4,true,,false,false,2023-07-09T06:03:09Z,2023-12-15T04:54:51Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82"
"0cc463b0-4cfe-599d-0fab-e315627d788c","52","byClient","close of escrow",32260,"7/21/2023","upon completion",1,true,,false,false,2023-10-27T14:43:58Z,2023-10-27T14:43:58Z,"34ac6ca6-b333-4ba9-a486-33c8fc41ce6f"
