"ID","Created Date","Updated Date","Owner","projectID","Item Name","Item Completed","Parent Stage ID","Order","Is Category","Description","Qty","Unit Price","Total","Type","Recommend Item","Image","Internal","Margin Percent","Cost","price"
"000ccafb-3c90-603d-8d02-dc269f267451",2023-06-28T19:01:35Z,2023-08-09T22:13:32Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82","123f20b3-8297-52c2-c395-6b5bd60762a5","Electric ",false,,11,false,"Install 35 LED lights
install new dimmer switches",1,,,"Item",false,,false,45,5200,7540
"00126eba-f160-4ea4-d4a4-003a8fa18c67",2023-06-08T00:58:26Z,2023-10-14T04:53:29Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82","0db7aa46-5017-5175-2051-8e4be52d3400","Bedroom off the hallway",false,,10,false,"Build framing for new closet doors
Supply and install new glass sliding doors
Install new drywall on Newley constructed walls.",1,,,"Item",false,,false,45,2750,3987.5
"0023c45a-c499-68b4-c527-2b2cb322445e",2023-03-06T17:10:45Z,2023-03-06T17:16:25Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82","1a81d866-5229-0aed-f613-9307c848865c","Mold Remediation ",false,,1,false,"To determine the current moisture content of building materials and to identify additional areas with potential for mold growth and potential sources of moisture intrusion, NLS sub will conduct testing
at subject property to determine moisture content of suspect water damaged building materials.
If the the reading  will exhibit elevated moisture content it will require microbial contamination.
Air samples for total airborne mold spore count will be  collected during the subject property investigation. 
The indoor samples will be collected collected to ascertain the possibility of greater contamination to the breathable air within the subject building following the initial findings of water damage and suspect moisture stains within the building substrates. 
An outdoor samples will be  collected from the surrounding of the building for use as background reading for comparative analysis.

NLS sub will remove previous and continued wet building materials 
 The presence of mold growth reservoirs and elevated airborne mold spores within human habitations is abnormal and may adversely impact the health of some occupants.
Therefore, prompt remediation must be preformed.

The process:
Place 600 CFM air scrubber inside the proper containment of the water 
areas (per the report)
Window sills, drywalls, baseboards, molding ,stucco
Remove and dispose of all stained drywall ceiling 5 feet by 5 feet .

Professionally clean all exposed wood framing surfaces. Cleaning typically involves hand sanding or power wire brushing, HEPA vacuuming, and wet wiping of all the exposed building material surfaces inside the containment, including biocide wet wipe down of
the enclosure plastic.

Upon completion of above remediation, final wet wipe all surfaces inside enclosure, change HEPA filter, air scrub ON LOW setting an additional 24 hours prior to AE post remediation inspection and testing.

Visual investigation revealing an absence of visible dust, debris, and visible-suspect mold
growth;
All previously wet building materials are documented to be less than 20% measured moisture equivalency.

Concentration of mold spores and hyphal fragments detected on building materials surfaces is to not exceed the category “Low”;

The concentrations of airborne fungal spores and hyphal fragments inside the work area must be documented to be less than the concentration of airborne spores outdoors exterior
ambient air;
ØPresence of the Stachybotrys mold variety on any surface samples should be “<1+,” if
present, and less than 3 airborne spores/m3 if present.
The steps outlined here are the minimum steps required for remediation. The remediation firm
may take additional or different steps as dictated by their judgment and/or operating procedures
to adequately abate the mold contamination. In mold remediation situations, it is always possible
that additional hidden mold growth may exist in the walls beyond the areas investigated.











 





",1,,,"Item",false,,false,45,13500,19575
"00272d03-4c57-1a1a-2007-a5d86f467f80",2023-07-11T01:56:46Z,2023-07-14T17:14:17Z,"50dc93e3-0c5b-4b4f-8acc-ca2ec2619c82","2afe1486-f1e6-43af-ee04-bfa0531bde9d","Bathroom 2 (single sink vanity)",false,,7,false,"Demo existing faucet
Demo existing mirror
Demo light fixture
Remove and haul away all debris

Supply and install new faucet
paint the wall above the vanity
Supply and install new single mirror
Supply and install new light fixture
Deglaze fiberglass tub enclosure",1,,,"Item",false,,false,45,1500,2175
"00276e08-3e68-46af-9154-ec025a6e9118",2022-07-25T03:49:25Z,2022-08-07T21:42:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","6","Repair existing roof",true,,62,false,,,,,"Item",,,,,,
"010cea60-b5b5-02ec-c633-4b5df19301d3",2023-05-02T20:31:46Z,2023-07-16T02:08:14Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","990fc1a4-53cb-62c3-e2fd-c05331c7cd93","Paint",false,,6,false,"Interior 
Repair all walls,ceilings and baseboards and prepare for paint
Apply primer and 2 coats of paint
Exterior 
Repair all stucco was needed
Repair facia boards 
Spray paint all exterior including trims",1,,,"Item",false,,false,40,15714.3,22000
"012e837b-8b11-a341-9ba4-baf92ffc924d",2023-11-13T23:17:19Z,2024-01-29T01:22:39Z,"42966562-f0ae-4c4a-ba5f-dc010ff02bd3","7603562b-5a94-94aa-2e87-7e0379830a94","Paint upstairs bedroom walls",false,,4,false,"Prepare the walls as needed for painting
Tape and cover all areas as needed

Master paint walls patch in bathroom 150”x 144”

Guest bedroom Paint walls 142” x 140”

*Does not include ceiling",1,,,"Item",false,,false,45,1950,2827.5
"0155985a-820a-4294-adb2-8f1dbd997142",2022-07-25T03:49:25Z,2022-08-07T21:42:51Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","6","Install new ducting",true,,40,false,,,,,"Item",,,,,,
"01586cb2-2ddf-6343-3576-cd337a6ea1a5",2022-09-28T18:15:01Z,2022-11-29T17:04:02Z,"25002954-d890-4b6f-9100-53afc320aff6","42","LVT Flooring installation",true,,2,false,"Install apex 410 sq ft of LVT floor ",1,2220,2220,"Item",false,,false,,,
"019a7e21-8af6-c92e-590f-92fdfe44de54",2023-01-04T23:06:13Z,2023-02-06T04:54:14Z,"03839c70-7508-4e6d-b906-4df699fc5aa1","308791ac-f0ae-ffaf-e499-2658deebd133","Shower Panel Modification",false,,1,false,"Replace existing single left panel with a new glass panel shorter in 8"".
Using 1/4""-3/8"" clear safety tempered glass according to Ansi 97.1.
Using existing hardware.
Paint partial section behind existing glass panel - to be matched as much as possible.

Payment Terms: with the oder
Lead Time: 1-2 weeks",1,,,"Item",false,,false,50,900,1350
