title,ID,createdDate,updatedDate,owner,order
New,37bd9d81-08d6-4f1b-b527-96cdc780970c,2023-11-03T23:49:04Z,2023-12-02T19:17:31Z,03839c70-7508-4e6d-b906-4df699fc5aa1,1
Sent,73e30a2d-a4d2-46e1-887f-b0e85f66d361,2023-11-03T23:49:19Z,2023-12-02T19:17:32Z,03839c70-7508-4e6d-b906-4df699fc5aa1,2
Opened,b3780024-d5f6-411c-be35-c38fc1c193c5,2023-11-03T23:49:27Z,2023-12-02T19:17:33Z,03839c70-7508-4e6d-b906-4df699fc5aa1,3
Underwriting,652f4c07-96a4-445e-b814-741cacd376bf,2023-11-03T23:49:33Z,2023-12-02T19:17:35Z,03839c70-7508-4e6d-b906-4df699fc5aa1,4
Approved,c73bf031-2d7e-47cb-94c8-350a6374d066,2023-11-03T23:49:39Z,2023-12-02T19:17:36Z,03839c70-7508-4e6d-b906-4df699fc5aa1,5
Contracting,744530c7-6e24-42df-a4bf-72fe96c69215,2023-11-03T23:49:45Z,2023-12-02T19:17:37Z,03839c70-7508-4e6d-b906-4df699fc5aa1,6
Contract Sent,72ca6801-ad87-47cb-b1ba-604b3c4d7ddf,2023-11-03T23:49:58Z,2023-12-02T19:17:38Z,03839c70-7508-4e6d-b906-4df699fc5aa1,7
Accounting,4980cd80-363d-43d1-aad4-464d963f284c,2023-11-03T23:50:03Z,2023-12-02T19:17:40Z,03839c70-7508-4e6d-b906-4df699fc5aa1,8
Converted,2867e7c9-98a6-4bbc-bc56-5c95dc589b3f,2023-11-03T23:50:12Z,2023-12-02T19:17:41Z,03839c70-7508-4e6d-b906-4df699fc5aa1,9
Rejected,3fdc6dbd-8416-4b48-964a-f96b64d8bb35,2023-11-03T23:50:17Z,2023-12-02T19:17:43Z,03839c70-7508-4e6d-b906-4df699fc5aa1,10
Expired,fa0372fe-9b7f-4ca4-b1aa-82c72cbdbebf,2023-11-03T23:50:22Z,2023-12-02T19:17:44Z,03839c70-7508-4e6d-b906-4df699fc5aa1,11
Archived,3aea2b1e-9d7c-413f-9ed0-8feaaad7438b,2023-11-03T23:50:29Z,2023-12-02T19:17:47Z,03839c70-7508-4e6d-b906-4df699fc5aa1,12
